id,retweet_count,favorite_count
892420643555336193,7696,36145
892177421306343426,5692,31169
891815181378084864,3774,23485
891689557279858688,7861,39433
891327558926688256,8470,37652
891087950875897856,2837,18975
890971913173991426,1847,11044
890729181411237888,17175,60892
890609185150312448,3911,26101
890240255349198849,6679,29835
890006608113172480,6669,28726
889880896479866881,4541,26144
889665388333682689,9108,44982
889638837579907072,4083,25329
889531135344209921,2054,14180
889278841981685760,4855,23607
888917238123831296,4097,27239
888804989199671297,3863,23959
888554962724278272,3172,18492
888078434458587136,3158,20396
887705289381826560,4906,28323
887517139158093824,10726,43428
887473957103951883,16376,64356
887343217045368832,9539,31514
887101392804085760,5434,28671
886983233522544640,6987,32689
886736880519319552,2931,11228
886680336477933568,4078,21050
886366144734445568,2885,19790
886267009285017600,4,110
886258384151887873,5755,26209
886054160059072513,100,0
885984800019947520,6120,30491
885528943205470208,5824,33658
885518971528720385,3403,19174
885311592912609280,16873,0
885167619883638784,3984,20500
884925521741709313,16481,72191
884876753390489601,5084,26073
884562892145688576,4284,22753
884441805382717440,5194,25370
884247878851493888,18513,67983
884162670584377345,2731,19114
883838122936631299,3133,20473
883482846933004288,9007,42883
883360690899218434,3370,21229
883117836046086144,6052,34751
882992080364220416,3548,22362
882762694511734784,4453,26484
882627270321602560,5539,26226
882268110199369728,10553,41974
882045870035918850,4460,27459
881906580714921986,3099,22792
881666595344535552,9731,47428
881633300179243008,7,117
881536004380872706,14555,46330
881268444196462592,4809,21770
880935762899988482,2545,16004
880872448815771648,3490,19935
880465832366813184,5673,26687
880221127280381952,3802,25247
880095782870896641,3958,25860
879862464715927552,3194,20969
879674319642796034,10,296
879492040517615616,2908,21998
879415818425184262,40555,99071
879376492567855104,2858,15745
879130579576475649,6212,0
879050749262655488,4285,21118
879008229531029506,2448,17808
878776093423087618,3734,18151
878604707211726852,6484,28242
878404777348136964,1179,0
878316110768087041,6087,0
878281511006478336,1179,7254
878057613040115712,6212,39477
877736472329191424,17311,74394
877611172832227328,73,0
877556246731214848,3483,21280
877316821321428993,4762,25710
877201837425926144,5103,25432
876838120628539392,3047,19428
876537666061221889,4292,22198
876484053909872640,2170,17620
876120275196170240,4278,26257
875747767867523072,3909,23637
875144289856114688,4502,20588
875097192612077568,5569,25783
875021211251597312,4330,23961
874680097055178752,4245,26128
874434818259525634,13336,0
874296783580663808,3768,24470
874057562936811520,3655,21358
874012996292530176,9401,32243
873580283840344065,3614,22791
873337748698140672,1466,0
873213775632977920,1466,6744
872967104147763200,4987,25668
872820683541237760,3422,13889
872620804844003328,3353,19518
872486979161796608,8320,38407
872122724285648897,7461,32338
871879754684805121,10129,35454
871762521631449091,3223,19074
871515927908634625,3212,19039
871166179821445120,5281,0
871102520638267392,5100,19757
871032628920680449,3537,21479
870804317367881728,5720,31789
870726314365509632,3,114
870656317836468226,2447,11678
870374049280663552,24518,78462
870308999962521604,3846,20728
870063196459192321,7699,34543
869772420881756160,9380,40278
869702957897576449,5857,26741
869596645499047938,2902,15114
